year,month,hour_of_day,incident_type_primary,day_of_week
2022,5,9,LARCENY/THEFT,Friday
2022,8,20,LARCENY/THEFT,Saturday
2022,6,10,LARCENY/THEFT,Monday
2022,6,14,LARCENY/THEFT,Monday
2022,6,9,BURGLARY,Monday
2022,6,20,ASSAULT,Monday
2022,6,18,LARCENY/THEFT,Monday
2022,5,9,LARCENY/THEFT,Saturday
2022,6,9,BURGLARY,Monday
2022,6,0,BURGLARY,Tuesday
2022,5,12,ASSAULT,Thursday
2022,5,12,ROBBERY,Wednesday
2022,5,17,LARCENY/THEFT,Wednesday
2022,5,21,UUV,Wednesday
2022,5,0,ASSAULT,Friday
2022,5,13,LARCENY/THEFT,Thursday
2022,5,8,LARCENY/THEFT,Friday
2022,5,10,LARCENY/THEFT,Tuesday
2022,6,16,UUV,Monday
2022,6,21,ASSAULT,Monday
2022,5,17,LARCENY/THEFT,Sunday
2022,6,20,LARCENY/THEFT,Monday
2022,5,10,ROBBERY,Sunday
2022,6,11,LARCENY/THEFT,Monday
2022,5,20,ROBBERY,Sunday
2022,5,13,UUV,Sunday
2022,6,21,ASSAULT,Friday
2022,5,17,BURGLARY,Sunday
2022,8,18,ROBBERY,Monday
2022,8,14,LARCENY/THEFT,Monday
2022,8,11,LARCENY/THEFT,Wednesday
2022,8,11,LARCENY/THEFT,Monday
2022,5,16,LARCENY/THEFT,Sunday
2022,5,14,LARCENY/THEFT,Sunday
2022,8,11,BURGLARY,Monday
2022,6,0,ASSAULT,Sunday
2022,5,16,ASSAULT,Sunday
2022,8,13,BURGLARY,Monday
2022,5,14,ASSAULT,Sunday
2022,5,4,ASSAULT,Sunday
2022,5,9,ASSAULT,Sunday
2022,5,9,UUV,Monday
2022,6,11,ROBBERY,Saturday
2022,6,17,LARCENY/THEFT,Saturday
2022,6,16,ASSAULT,Saturday
2022,6,15,LARCENY/THEFT,Saturday
2022,8,18,LARCENY/THEFT,Monday
2022,8,4,LARCENY/THEFT,Monday
2022,8,9,LARCENY/THEFT,Monday
2022,6,7,LARCENY/THEFT,Sunday
2022,5,17,LARCENY/THEFT,Thursday
2022,5,18,LARCENY/THEFT,Thursday
2022,5,7,LARCENY/THEFT,Friday
2022,8,16,UUV,Tuesday
2022,8,17,ROBBERY,Monday
2022,8,13,LARCENY/THEFT,Monday
2022,8,10,ASSAULT,Monday
2022,5,16,ASSAULT,Friday
2022,5,21,UUV,Friday
2022,5,18,ASSAULT,Friday
2022,5,23,ASSAULT,Friday
2022,5,14,LARCENY/THEFT,Friday
2022,5,16,LARCENY/THEFT,Friday
2022,6,3,ASSAULT,Wednesday
2022,6,17,LARCENY/THEFT,Tuesday
2022,8,10,BURGLARY,Monday
2022,6,22,ASSAULT,Tuesday
2022,6,15,BURGLARY,Wednesday
2022,8,10,BURGLARY,Monday
2022,6,10,LARCENY/THEFT,Tuesday
2022,5,14,LARCENY/THEFT,Monday
2022,5,22,MURDER,Friday
2022,5,17,LARCENY/THEFT,Friday
2022,5,8,ASSAULT,Saturday
2022,5,1,LARCENY/THEFT,Friday
2022,6,11,LARCENY/THEFT,Tuesday
2022,5,6,BURGLARY,Monday
2022,6,1,BURGLARY,Wednesday
2022,8,16,LARCENY/THEFT,Monday
2022,6,20,ASSAULT,Thursday
2022,8,13,LARCENY/THEFT,Wednesday
